key1,key2,attribute1,attribute2,attribute3,attribute4,attribute5,attribute6,attribute7,attribute8,attribute9,attribute10,attribute11,attribute12,attribute13,attribute14,attribute15,attribute16,attribute17,attribute18,attribute19,attribute20,attribute21,attribute22,attribute23,attribute24,attribute25,attribute26,attribute27,attribute28,attribute29,attribute30
USD,2021-07,0.8649633412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2021-08,0.8449123673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2021-09,0.8827199412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2021-10,0.9003773478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2021-11,0.8449870916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2021-12,0.9511177877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2022-01,0.9762314679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2022-02,0.9738973309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2022-03,0.9060818788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2022-04,0.892496765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2022-05,0.8297245076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2022-06,0.9425350704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2022-07,0.9030934693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2022-08,1.0047414409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2022-09,0.9902888155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2022-10,0.9040015927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2022-11,0.8350556338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2022-12,0.9797710788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2023-01,0.8510505059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2023-02,0.8657344811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2023-03,0.9728985946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2023-04,0.837497783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2023-05,0.939132015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2023-06,0.8681255941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2023-07,0.8880782193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2023-08,0.8560357399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2023-09,0.9325755957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2023-10,0.9226760922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2023-11,0.8429188148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2023-12,0.8314869804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2024-01,0.8418887089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2024-02,1.0043091079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2024-03,0.9603153112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2024-04,0.9472139333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2024-05,0.9130297913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2024-06,0.9757166269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2024-07,0.8898771067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2024-08,0.8317381858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2024-09,0.9440242976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2024-10,0.9705773576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2024-11,0.9027980294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2024-12,0.8968506784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2025-01,0.907188894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2025-02,0.9307892484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2025-03,0.8562870027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2025-04,0.9527037729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2025-05,0.8320943654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2025-06,0.8961997321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2025-07,0.8459145351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2025-08,0.9530833896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2025-09,0.8334269545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2025-10,0.9528491667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2025-11,0.8432480746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2025-12,0.9576678886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2026-01,0.9447836832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2026-02,0.9009581748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2026-03,0.8648319686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2026-04,0.8460018662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2026-05,0.9290927134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2026-06,0.9677047332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2026-07,0.825637158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2026-08,0.8657140896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2026-09,0.8779489616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2026-10,0.8952384823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2026-11,0.9614808504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2026-12,1.0017845241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2027-01,0.9087743763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2027-02,0.8334870422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2027-03,0.9222732231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2027-04,0.9276090658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2027-05,0.8936447018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2027-06,0.839157326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2027-07,0.9831231111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2027-08,0.9326995486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2027-09,0.8579484972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2027-10,0.839174244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2027-11,0.9007300917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2027-12,0.8398870909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USD,2028-01,0.9240719874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
